,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,27,0,0,0,0,0,0,0,0,0,10,0,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0,135,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2190,23,63,117,84,2,0,3,0,9,0,0,8,1,16,0,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,162,0,0,27,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,13,16,674,12,0,17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,59,24,595,39,7,0,0,3,0,22,0,2,0,0,0,1,43,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,56,0,36,2053,15,11,0,2,0,33,0,0,9,0,12,0,87,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,80,0,0,0,1,0,9,0,0,32,0,0,0,0,0,9,0,0,0,0,1,4,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,95,4,1,22,11412,3,0,56,0,0,1,3,6,1,13,16,94,0,0,1,1,0,1,1,88,1,15,0,60,0,0,0,1,3,0,0,99,7,2,9,1,321,678,36,0,17,0,2,1,2,0,0,12,14,0,0,2,1,0,0,7,1,5,3,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17
7,0,0,1,0,0,16,1,658,1,0,0,0,0,6,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,14,516,0,0,0,0,1,0,0,0,0,60,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,84,0,113,10,30,0,21,3,0,1,0,3,0,4,1,12,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,2,0,0,6,43,0,0,624,0,4,2,0,3,4,0,7,23,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,6,4,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0
