epoch,train_total_loss,train_ce_loss,train_lusi_loss,val_acc1,val_acc3
1,3.4467405065344434,3.4467405065344434,0.0,0.3415877640203933,0.6198983845067085
2,2.317579173613878,2.317579173613878,0.0,0.4765134829192955,0.7527005326477066
3,2.0305113429918604,2.0305113429918604,0.0,0.5205468633455892,0.7937065084811205
4,1.8901538771622677,1.8901538771622677,0.0,0.5374213532937284,0.8115462578646706
5,1.7987584813404178,1.7987584813404178,0.0,0.57463649207171,0.8382751691397783
6,1.7254555800619533,1.7254555800619533,0.0,0.5912477294465553,0.8548951816004001
7,1.66135012402254,1.66135012402254,0.0,0.6165989522547582,0.8695759001044235
8,1.6103401930477184,1.6103401930477184,0.0,0.6204073394817434,0.8706903359980344
9,1.5702934670424533,1.5702934670424533,0.0,0.6303144113233707,0.8843092691231057
10,1.5364643744195803,1.5364643744195803,0.0,0.6495142990022728,0.8919699190059582
11,1.505886742148775,1.505886742148775,0.0,0.6582981598645127,0.8959625830342491
12,1.4764345093952456,1.4764345093952456,0.0,0.6668187681534588,0.8994375170017287
13,1.4501199590363507,1.4501199590363507,0.0,0.672636650023254,0.9063961600224643
14,1.425371849287305,1.425371849287305,0.0,0.6809554313393413,0.9113014329715073
15,1.3972155650852922,1.3972155650852922,0.0,0.6916434858150738,0.9180757991909371
16,1.3753788029089764,1.3753788029089764,0.0,0.6963644819628112,0.9183039514211251
17,1.3567772993180949,1.3567772993180949,0.0,0.6980580735176687,0.9217174597881694
18,1.3376806551295286,1.3376806551295286,0.0,0.6994269868987969,0.9224896673364982
19,1.325917255248529,1.325917255248529,0.0,0.707096411867426,0.9281144973192113
20,1.3097541504581334,1.3097541504581334,0.0,0.7124228889337393,0.9298431892171746
21,1.2992918951323595,1.2992918951323595,0.0,0.7168367570793005,0.9321685869479374
22,1.2874855605341264,1.2874855605341264,0.0,0.7151958160391018,0.9307382479663738
23,1.2796972160443947,1.2796972160443947,0.0,0.7218210058003317,0.9322475627199256
24,1.2659153585300844,1.2659153585300844,0.0,0.7117121069858457,0.9329846699251485
25,1.2613821941263534,1.2613821941263534,0.0,0.7313858492966768,0.9390658043682377
26,1.2523107731924694,1.2523107731924694,0.0,0.7311927974095946,0.9363016523486517
27,1.2423973373496757,1.2423973373496757,0.0,0.73470283172018,0.9390921296255671
28,1.237770920379806,1.237770920379806,0.0,0.7390552742653059,0.9399082126027782
29,1.2283897889575597,1.2283897889575597,0.0,0.7310699462087242,0.9407155204942128
30,1.224187133081651,1.224187133081651,0.0,0.7433989417246554,0.9414438526136593
31,1.215861677291505,1.215861677291505,0.0,0.7373265823673426,0.9410928491826007
32,1.2123559741888303,1.2123559741888303,0.0,0.7436972946410552,0.9426372642792583
33,1.2071095684827384,1.2071095684827384,0.0,0.7502171833729675,0.944637983836292
34,1.200493588761342,1.200493588761342,0.0,0.7453733360243596,0.9437780254301986
35,1.1949269939158278,1.1949269939158278,0.0,0.7505155362893672,0.9456558937863617
36,1.1902854422391471,1.1902854422391471,0.0,0.7350801604085679,0.9400486139752016
37,1.1859527538685595,1.1859527538685595,0.0,0.7495415017681798,0.9460156723031967
38,1.1812740444305054,1.1812740444305054,0.0,0.7408980422783633,0.9454365166419502
39,1.1741349270431731,1.1741349270431731,0.0,0.7537184425977764,0.9477970147158189
40,1.1705763634751112,1.1705763634751112,0.0,0.7522003527584482,0.9479988416886775
41,1.1678897330197593,1.1678897330197593,0.0,0.7534551900244825,0.9468493054519608
42,1.1634169245289188,1.1634169245289188,0.0,0.7553593836379751,0.9494730560991234
43,1.158631939474393,1.158631939474393,0.0,0.7645732237032618,0.9511227722250984
44,1.154338879932316,1.154338879932316,0.0,0.7472512043805228,0.943181319597399
