epoch,train_total_loss,train_ce_loss,train_lusi_loss,val_acc1,val_acc3
1,3.574061220688216,3.574061220688216,0.0,0.2337946103423161,0.4776454689844593
2,2.6387042319429956,2.6387042319429956,0.0,0.3939925762774331,0.6801656736194597
3,2.252681617365996,2.252681617365996,0.0,0.4524697478917856,0.7360190945866496
4,2.0975934104215828,2.0975934104215828,0.0,0.48047104660448053,0.7625198536315693
5,2.0019840634356467,2.0019840634356467,0.0,0.5061908230152949,0.7873708965505137
6,1.9334533673340635,1.9334533673340635,0.0,0.5180722891566265,0.799568265779798
7,1.8774336133141103,1.8774336133141103,0.0,0.5226002334172817,0.8015338849937258
8,1.80831568833006,1.80831568833006,0.0,0.566835440816434,0.8329135917303592
9,1.7454354812949153,1.7454354812949153,0.0,0.5806913012574698,0.8423468089400574
10,1.6760360192682071,1.6760360192682071,0.0,0.5970656113163506,0.8604410358111251
11,1.6117672649242822,1.6117672649242822,0.0,0.6269009029563264,0.8747707508840898
12,1.5566260061140431,1.5566260061140431,0.0,0.6300862590931826,0.8800445774357444
13,1.5198201650636622,1.5198201650636622,0.0,0.6581665335778657,0.8950411990277205
14,1.4865994347651246,1.4865994347651246,0.0,0.6501461051781782,0.8882054072078555
15,1.4593074774575732,1.4593074774575732,0.0,0.6733737572284769,0.9054923261874884
16,1.4342871166297708,1.4342871166297708,0.0,0.620398564395967,0.8885125352100317
17,1.417321667595138,1.417321667595138,0.0,0.6505322089523425,0.8974280223589186
18,1.3982424825162498,1.3982424825162498,0.0,0.6892829877412052,0.9155573495730921
19,1.3806996095929285,1.3806996095929285,0.0,0.6952588211549768,0.9185759790801955
20,1.3660820129504827,1.3660820129504827,0.0,0.6978035960301512,0.9197606156600181
21,1.353851322756926,1.353851322756926,0.0,0.6839477355891154,0.9160838547196799
22,1.3426635680146375,1.3426635680146375,0.0,0.7007520248510429,0.9224808922507217
23,1.3292487302306641,1.3292487302306641,0.0,0.6360971928500601,0.9071069419703578
24,1.3166160589438731,1.3166160589438731,0.0,0.7041304328749813,0.9212260549846875
25,1.3051875077358865,1.3051875077358865,0.0,0.7116068059565283,0.9269561859967181
26,1.2937052280810157,1.2937052280810157,0.0,0.7052536438543687,0.9279302205179055
27,1.2826599608865359,1.2826599608865359,0.0,0.7293149290534315,0.9360296246895813
28,1.2691141824541634,1.2691141824541634,0.0,0.7314911503259944,0.934432559078265
29,1.258840137440804,1.258840137440804,0.0,0.7221369088882844,0.9328530436385015
30,1.2546120240229552,1.2546120240229552,0.0,0.7128616432225625,0.9334585245570776
31,1.2448541265898425,1.2448541265898425,0.0,0.7221807843171667,0.9363894032064164
32,1.2365574849804757,1.2365574849804757,0.0,0.7405119385041988,0.9402943163769426
33,1.2287791358865983,1.2287791358865983,0.0,0.7337463473705456,0.9397853614019077
34,1.2212254488812844,1.2212254488812844,0.0,0.7429250870927263,0.9425846137645996
35,1.2136716104575906,1.2136716104575906,0.0,0.7354750392685089,0.9387850016233908
36,1.2088110859348908,1.2088110859348908,0.0,0.7461104432295825,0.9435059977711282
37,1.2030671035066796,1.2030671035066796,0.0,0.7428724365780676,0.9421985099904352
38,1.194761062191348,1.194761062191348,0.0,0.7500767820005441,0.9448047104660448
39,1.1893789714735266,1.1893789714735266,0.0,0.7466018480330645,0.9446292087505155
40,1.1880245763782489,1.1880245763782489,0.0,0.7487780693056275,0.9464105511631377
41,1.1782203030847718,1.1782203030847718,0.0,0.7436972946410552,0.9447169596082802
42,1.1735652155082223,1.1735652155082223,0.0,0.7343869286322274,0.9378811677884151
43,1.1712340980560212,1.1712340980560212,0.0,0.7441711492729841,0.943444572170693
44,1.1634237899380928,1.1634237899380928,0.0,0.7361243956159671,0.9414438526136593
45,1.1586085827733321,1.1586085827733321,0.0,0.7519722005282602,0.9467089040795373
46,1.1584685838828652,1.1584685838828652,0.0,0.7509367404066375,0.9468405303661843
47,1.1509215094869658,1.1509215094869658,0.0,0.7615370440246053,0.9512105230828631
48,1.1475134876409057,1.1475134876409057,0.0,0.7523319790450952,0.9478584403162541
49,1.143308306025603,1.143308306025603,0.0,0.763915092270027,0.9504383155345344
50,1.1395938035141555,1.1395938035141555,0.0,0.7670828982353303,0.9527022876648619
51,1.134086564079239,1.134086564079239,0.0,0.7417053501697979,0.9442343298905747
52,1.1323166289334283,1.1323166289334283,0.0,0.7649856527347555,0.9527900385226266
53,1.1251000045898072,1.1251000045898072,0.0,0.7684518116164586,0.9529655402381558
54,1.1251595482631314,1.1251595482631314,0.0,0.7743837696013478,0.9543871041339429
55,1.1217701345949562,1.1217701345949562,0.0,0.7778762537403803,0.9553348133978009
