,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,29,0,0,0,0,0,0,0,0,0,8,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,133,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2268,26,44,80,93,1,0,2,0,5,0,0,9,0,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,214,0,0,33,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,10,692,6,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,91,30,592,38,6,1,0,3,0,16,0,0,0,1,0,0,29,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,81,0,46,2086,17,8,1,4,0,24,0,0,5,0,15,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,62,0,0,0,0,1,9,0,0,31,0,0,0,1,0,11,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,88,6,2,22,11395,2,1,56,0,0,1,1,9,3,13,16,79,0,0,1,1,0,1,3,85,1,19,0,38,0,1,0,1,3,0,0,75,4,4,5,1,463,620,35,0,15,0,3,1,0,0,1,12,10,0,0,2,0,0,0,2,2,6,4,0,0,0,0,0,0,28,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
7,0,0,2,0,0,19,0,660,0,0,0,0,0,6,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,11,500,0,0,0,0,1,0,0,0,1,52,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,97,0,121,5,40,0,14,3,0,1,0,1,0,5,0,16,0,0,0,7,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,3,0,0,1,42,0,0,642,0,0,1,0,2,2,0,3,27,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9,2,1,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11,0,0,14,0,7,34,10,0,0,18,0,633,0,0,8,3,1,2,35,0,3,0,0,3,0,0,36,0,0,0,0,0,0,0,9,0,0,0,36,21,1,0,0,2,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,9,0,0,1,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0
13,0,0,0,0,0,1,0,44,0,0,0,0,0,647,0,0,0,0,94,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,0,1,0,1,0,0,0,0,2,0,0,40,0,0,0,35,9,0,7,0,3,0,0,0,1,22,13,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
14,0,0,23,1,0,8,13,0,0,0,0,3,0,0,600,0,10,1,8,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,37,21,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,4,0,1,17,0,0,0,0,0,526,7,83,27,3,4,0,0,19,0,20,2,7,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,5,1,4,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,15,0,0,25,14,0,1,2,0,2,0,0,1,4,563,2,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,36,0,0,0,0,0,13,0,0,9,0,24,20,2,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,20,2,580,47,0,5,0,6,7,0,5,2,0,0,0,0,0,0,0,39,0,0,1,0,1,0,0,0,0,1,2,0,0,2,14,0,10,0,2,9,6,0,3,0,0,1,0,9,0,0,0,20,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
