,precision,recall,f1-score,support
1,0.9135802469135802,0.8717277486910995,0.8921634293369055,764.0
2,0.9568345323741008,0.9432624113475178,0.95,141.0
3,0.7615849563465413,0.7480211081794196,0.7547420965058236,3032.0
4,0.8849104859335039,0.9129287598944591,0.8987012987012987,758.0
5,0.8054421768707483,0.7064439140811456,0.7527018436109345,838.0
6,0.8050945580856812,0.8304140127388535,0.8175582990397805,2512.0
7,0.8596107423053712,0.8656841145635493,0.8626367387107763,13163.0
8,0.8616187989556136,0.9269662921348315,0.8930987821380244,712.0
9,0.819672131147541,0.5567928730512249,0.6631299734748011,898.0
10,0.7670250896057348,0.8492063492063492,0.8060263653483992,756.0
11,0.9285714285714286,0.6190476190476191,0.7428571428571429,21.0
12,0.8125802310654685,0.6956043956043956,0.7495559502664298,910.0
13,0.9693486590038314,0.8694158075601375,0.9166666666666666,291.0
14,0.716500553709856,0.675365344467641,0.6953250940354648,958.0
15,0.8086253369272237,0.7978723404255319,0.8032128514056225,752.0
16,0.7295423023578363,0.6787096774193548,0.7032085561497327,775.0
17,0.7417654808959157,0.6347237880496054,0.68408262454435,887.0
18,0.6605922551252847,0.7142857142857143,0.6863905325443787,812.0
19,0.6676641436366837,0.6814588573481855,0.67449097537121,5566.0
20,0.7475728155339806,0.7751677852348994,0.7611202635914333,894.0
21,0.7409523809523809,0.7030120481927711,0.721483771251932,1660.0
22,0.9354120267260579,0.9200438116100766,0.9276642738818333,913.0
23,0.7193816884661117,0.8120805369127517,0.7629255989911727,745.0
24,0.671919770773639,0.5616766467065868,0.6118721461187214,835.0
25,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
26,0.7079646017699115,0.7526881720430108,0.7296416938110749,744.0
27,0.8161634103019538,0.7486761710794297,0.78096452092628,2455.0
28,0.8323108384458078,0.8205645161290323,0.8263959390862944,496.0
29,0.9151193633952255,0.9465020576131687,0.930546190155091,729.0
30,0.8441717791411043,0.8775510204081632,0.8605378361475923,784.0
31,0.7710583153347732,0.7212121212121212,0.7453027139874739,990.0
32,0.8450980392156863,0.8484251968503937,0.8467583497053045,508.0
33,0.5,0.2,0.2857142857142857,5.0
34,0.0,0.0,0.0,15.0
35,0.7590637907296925,0.8286573146292585,0.7923353293413173,3992.0
36,0.7902439024390244,0.8556338028169014,0.8216398985629755,568.0
37,0.8369565217391305,0.6987295825771325,0.76162215628091,1102.0
