,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,30,0,0,0,0,0,0,0,0,0,7,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,134,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2296,17,49,75,81,3,0,2,0,5,0,0,5,1,9,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,171,0,0,22,0,2,1,2,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,11,17,668,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,78,18,608,25,2,0,0,4,0,12,0,0,0,0,0,0,39,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,69,0,34,2064,11,8,0,3,0,32,0,0,7,0,23,1,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,75,0,0,0,0,0,4,0,0,27,0,0,1,3,0,7,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,80,9,2,17,11475,3,0,44,0,1,1,2,6,4,10,10,94,0,0,1,1,0,0,1,83,0,14,1,52,0,0,0,1,3,0,0,73,8,3,7,1,384,625,34,0,16,1,3,1,0,0,0,10,13,0,1,2,1,0,0,6,2,5,5,0,0,1,0,0,0,25,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,16
7,0,0,1,0,0,14,0,658,0,0,0,0,0,6,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,2,10,522,0,0,0,0,1,0,0,0,0,48,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0,102,9,33,0,17,1,1,1,0,2,0,2,1,21,0,0,2,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,0,2,0,0,1,51,0,0,632,0,1,1,0,4,1,1,4,20,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,2,0,0,0,3,3,1,0,0,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
11,0,0,13,0,12,29,3,0,0,17,0,657,0,0,6,2,1,2,42,0,4,0,0,2,0,0,32,1,0,0,0,0,0,0,8,0,0,0,28,18,1,0,0,1,19,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,5,0,0,2,0,0,250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
13,0,0,1,0,0,0,1,41,0,0,0,0,0,666,0,0,0,0,80,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,54,0,1,0,33,7,0,11,1,2,0,0,0,1,17,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,33,1,0,7,5,0,1,0,0,7,0,0,600,1,5,2,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,30,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,5,0,1,12,0,0,0,0,0,576,7,52,14,3,8,0,0,26,0,17,1,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,4,0,0,0,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,9,0,0,14,13,0,1,3,0,1,0,0,0,8,592,2,113,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,2,35,1,0,0,0,0,7,0,0,4,0,23,23,5,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,5,0,2,4,0,0,0,0,0,20,1,620,14,1,8,0,10,12,0,5,0,3,0,0,0,0,0,0,6,0,0,0,1,3,0,0,0,1,0,3,0,0,3,16,0,10,1,3,10,9,0,11,0,0,0,0,6,0,0,0,17,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
