epoch,train_total_loss,train_ce_loss,train_lusi_loss,val_acc1,val_acc3
1,3.5458233860411412,3.5458233860411412,0.0,0.27396695302696583,0.5327003571459911
2,2.4544113091195925,2.4544113091195925,0.0,0.42787318246035855,0.714651760720961
3,2.0965250125554125,2.0965250125554125,0.0,0.519406102194649,0.7990856360620925
4,1.8513385336753259,1.8513385336753259,0.0,0.5814284084626927,0.8442071271246676
5,1.7127683176951536,1.7127683176951536,0.0,0.6036206003913688,0.8648724541282391
6,1.6335684667199344,1.6335684667199344,0.0,0.6113075755315508,0.8662852429382497
7,1.5748425574744807,1.5748425574744807,0.0,0.6408445142551269,0.8865381409103273
8,1.5181526788329318,1.5181526788329318,0.0,0.6552883054431857,0.8960064584631314
9,1.475990075651456,1.475990075651456,0.0,0.665046200826613,0.9023859458226204
10,1.434053702344923,1.434053702344923,0.0,0.6817715143165525,0.9118103879465421
11,1.4025049904883204,1.4025049904883204,0.0,0.6777700752024851,0.9108012530822489
12,1.3744090318917515,1.3744090318917515,0.0,0.694372537491554,0.9178037715318668
13,1.3502537432838888,1.3502537432838888,0.0,0.7024192911485709,0.9225686431084864
14,1.328233484137926,1.328233484137926,0.0,0.7125194148772804,0.9274739160575295
15,1.3101343630793563,1.3101343630793563,0.0,0.7067980589510262,0.9241306083766969
16,1.2927313018534499,1.2927313018534499,0.0,0.7209522723084618,0.932502040207443
17,1.277454881939075,1.277454881939075,0.0,0.7240323274160005,0.9330197702682543
18,1.2633210692781276,1.2633210692781276,0.0,0.7197939609859686,0.9358365728024991
19,1.2498214729761674,1.2498214729761674,0.0,0.7320264305583587,0.9387148009371792
20,1.2391544114556887,1.2391544114556887,0.0,0.7209434972226854,0.9367930571521337
21,1.2274635218432988,1.2274635218432988,0.0,0.7328951640502286,0.9412157003834712
22,1.2144546936658895,1.2144546936658895,0.0,0.7325792609622759,0.9395396590001667
23,1.2073194315046043,1.2073194315046043,0.0,0.7417755508560097,0.9448047104660448
24,1.197416514841652,1.197416514841652,0.0,0.7486113426758747,0.946682578822208
25,1.1895514368892073,1.1895514368892073,0.0,0.7521213769864601,0.9481129178037715
26,1.1824207157342288,1.1824207157342288,0.0,0.7405558139330812,0.9459015961881028
27,1.173712182615476,1.173712182615476,0.0,0.727050956923104,0.9429443922814346
28,1.168417621942484,1.168417621942484,0.0,0.7597557016119832,0.9496397827288762
29,1.1623817146240416,1.1623817146240416,0.0,0.7429689625216086,0.947761914372713
30,1.1550215583736614,1.1550215583736614,0.0,0.7647224001614615,0.9519125299449802
31,1.1492269767721297,1.1492269767721297,0.0,0.7602383313296888,0.9526496371502031
32,1.1428683756118043,1.1428683756118043,0.0,0.7631253345501452,0.9537903983011434
33,1.1366794136680611,1.1366794136680611,0.0,0.7662668152581191,0.9541677269895313
34,1.1329685911937344,1.1329685911937344,0.0,0.7636869400398388,0.9540010003597785
35,1.1263703040087805,1.1263703040087805,0.0,0.7724795759878553,0.9562561974043297
36,1.122334919446487,1.122334919446487,0.0,0.7615896945392642,0.9530883914390264
37,1.118426132178378,1.118426132178378,0.0,0.7736642125676778,0.956888003580235
38,1.1121966748508594,1.1121966748508594,0.0,0.7573425530234558,0.9539922252740021
39,1.1064954931928535,1.1064954931928535,0.0,0.767626953553471,0.9556858168288594
40,1.1027032628967421,1.1027032628967421,0.0,0.7631692099790276,0.9529392149808265
